id,xP
1,5.0
2,1.0
3,0.0
4,1.0
5,7.5
6,5.3
7,0.0
8,5.8
9,0.0
10,1.5
11,2.2
13,1.0
14,0.0
15,1.0
16,5.0
17,5.8
18,1.8
19,2.2
20,4.7
21,7.5
22,2.2
23,0.0
24,1.2
25,1.0
26,5.0
28,0.0
29,0.0
30,1.0
31,2.5
266,1.3
662,0.0
666,3.3
700,0.0
711,1.0
725,2.6
759,1.0
32,1.5
33,0.3
34,0.0
35,0.0
36,2.7
37,2.2
38,2.8
39,1.5
40,0.0
41,0.3
42,0.2
43,0.0
44,0.3
45,0.0
46,0.0
47,4.5
48,3.8
49,0.0
50,1.8
51,0.0
53,0.0
54,4.3
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.2
63,0.0
64,5.5
65,0.0
389,0.0
456,1.2
677,0.5
688,0.0
701,0.0
702,0.0
703,0.0
710,0.0
719,2.0
754,0.3
757,0.0
768,0.0
781,0.0
792,0.0
183,-0.5
184,0.0
185,-0.5
186,0.0
187,1.3
188,0.0
189,0.0
190,2.3
191,0.5
192,-0.5
193,3.9
194,0.0
195,2.1
196,0.0
197,-0.1
198,0.3
199,-0.4
200,1.7
201,0.0
202,0.5
203,-0.5
204,0.0
205,0.0
206,3.5
207,-0.3
208,0.0
209,3.7
210,0.3
211,0.0
212,0.0
213,-0.3
214,0.0
215,0.0
216,0.0
217,-0.3
218,-0.5
219,0.0
470,3.9
676,2.7
680,2.5
722,2.7
776,-0.5
784,-0.5
66,0.0
67,0.4
68,0.0
69,0.0
70,0.0
71,0.0
72,2.4
73,0.2
74,1.2
75,0.0
76,0.0
77,1.8
78,0.0
79,0.0
80,0.2
81,0.0
84,2.2
85,0.0
86,2.5
87,0.0
88,2.2
89,0.0
90,2.6
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,3.2
98,0.0
99,0.0
100,2.6
391,0.0
685,0.2
687,0.0
697,0.6
713,1.4
721,0.2
756,0.0
782,0.0
27,0.6
83,0.2
101,5.2
102,0.0
103,0.0
104,0.0
105,0.0
106,7.4
107,3.0
108,4.6
109,3.2
110,3.2
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,1.0
117,0.0
118,0.0
120,7.2
121,2.6
122,0.0
123,0.0
124,0.8
125,5.6
126,2.0
127,0.0
128,0.0
129,4.6
130,0.2
131,0.0
132,0.0
133,0.0
134,0.0
136,7.6
137,0.0
748,0.0
797,1.2
138,0.0
139,2.4
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.6
146,2.2
147,0.0
148,3.2
150,0.0
151,2.4
152,3.2
153,0.0
154,0.0
155,0.0
156,0.0
157,2.4
158,2.2
159,0.0
160,1.0
161,0.0
162,1.2
163,1.6
164,0.0
165,0.0
166,5.2
167,0.0
169,3.2
170,0.6
171,0.0
172,0.4
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,1.2
179,0.0
180,0.0
181,1.2
744,0.0
761,0.0
783,0.7
795,0.0
220,3.6
221,0.4
222,0.0
223,0.0
224,0.8
225,2.4
226,3.2
227,0.0
228,0.9
229,0.6
230,0.6
231,0.0
232,0.6
233,0.8
234,0.0
235,3.2
236,2.6
237,5.6
238,1.4
239,0.3
240,0.0
241,2.6
243,0.0
244,0.0
245,0.0
246,0.8
247,0.0
248,0.0
249,4.0
250,2.0
251,0.0
252,0.0
453,1.4
672,0.6
743,0.0
789,0.0
253,2.8
254,0.0
255,0.0
256,0.0
257,3.0
258,2.2
259,0.5
261,0.7
262,0.0
263,0.4
264,0.0
265,0.0
267,0.0
268,0.0
269,0.0
270,2.2
271,0.0
272,1.2
273,2.5
274,0.0
275,0.0
276,2.7
277,0.0
278,0.0
279,0.0
280,0.0
281,0.2
282,0.0
283,3.2
284,0.0
285,0.0
286,0.0
580,1.2
690,0.0
712,3.7
723,2.2
732,1.2
762,0.3
773,0.0
780,0.0
793,0.0
798,1.4
242,0.0
287,5.3
288,0.0
289,0.0
290,0.0
291,5.7
292,3.8
293,4.5
294,0.0
295,0.0
296,3.0
297,0.0
298,0.0
299,0.0
300,3.5
301,0.0
302,0.0
303,6.5
304,0.0
305,1.3
306,0.0
307,0.0
308,0.0
309,0.0
310,4.2
311,1.8
312,0.0
313,0.0
419,2.5
630,0.0
667,0.0
